course,plannedNumberOfStudents,seniorHours,assistantHours
I-512,100,280,700
I-513,60,240,560
I-514,150,280,700
I-515,100,280,560
I-516,60,240,480
I-517,60,240,700
I-518,200,260,560
I-519,60,260,600
I-520,60,240,500
I-521,200,260,360
I-522,60,260,480
I-523,200,260,420
I-524,100,280,600
I-525,60,280,400
I-526,200,260,700
I-527,100,240,560
I-528,150,280,480
I-529,60,280,400
I-530,100,280,600
I-531,100,280,420
I-532,100,280,600
I-533,100,280,480
I-534,100,260,700
I-535,100,280,500
I-536,60,240,560
I-537,200,260,560
I-538,60,260,700
I-539,100,260,360
I-540,150,280,360
I-541,200,280,600
I-542,200,260,360
I-543,200,240,300
I-544,60,240,400
I-545,100,260,500
I-546,100,280,400
I-547,60,280,500
I-548,100,280,600
I-549,100,260,480
I-550,100,280,480
I-551,150,280,500
I-552,100,240,560
I-553,150,240,420
I-554,200,260,360
I-555,60,260,360
I-556,150,260,400
I-557,100,280,560
I-558,150,280,700
I-559,200,260,560
I-560,200,260,400
I-561,60,280,480
I-562,200,280,600
I-563,150,240,300
I-564,200,240,600
I-565,100,260,700
I-566,60,260,700
I-567,200,260,560
I-568,200,260,400
I-569,60,240,560
I-570,100,240,560
I-571,60,260,300
I-572,60,240,480
I-573,200,240,300
I-574,60,280,400
I-575,100,280,420
I-576,200,280,400
I-577,150,280,560
I-578,150,240,300
I-579,200,240,560
I-580,60,240,700
I-581,150,260,600
I-582,150,280,600
I-583,200,280,400
I-584,60,280,360
I-585,100,240,420
I-586,100,280,400
I-587,100,280,500
I-588,100,260,300
I-589,150,260,300
I-590,100,240,480
I-591,60,280,700
I-592,60,240,400
I-593,100,260,400
I-594,150,260,400
I-595,150,240,360
I-596,60,260,300
I-597,100,240,400
I-598,60,240,600
I-599,200,280,400
I-600,100,240,700
I-601,200,240,400
I-602,150,260,300
I-603,200,240,300
I-604,200,280,360
I-605,60,280,480
I-606,150,280,560
I-607,150,240,420
I-608,60,260,360
I-609,150,240,300
I-610,150,240,480
I-611,60,260,500
I-612,200,260,360
I-613,200,280,420
I-614,60,240,700
I-615,200,240,420
I-616,200,280,600
I-617,150,280,560
I-618,200,280,300
I-619,60,280,480
I-620,200,240,360
I-621,100,240,700
I-622,60,260,300
I-623,200,260,700
I-624,60,260,360
I-625,150,260,420
I-626,100,240,420
I-627,200,280,300
I-628,200,280,360
I-629,200,280,420
I-630,60,280,420
I-631,150,280,360
I-632,150,240,700
I-633,100,260,500
I-634,60,280,400
I-635,150,260,300
I-636,100,240,400
I-637,150,280,600
I-638,200,240,600
I-639,150,260,560
I-640,150,240,480
I-641,100,280,360
I-642,200,280,500
I-643,150,240,400
I-644,60,240,600
I-645,100,240,400
I-646,150,280,560
I-647,150,240,600
I-648,150,260,700
I-649,200,280,420
I-650,150,260,360
I-651,150,280,560
I-652,150,260,600
I-653,60,260,480
I-654,100,240,700
I-655,100,240,360
I-656,150,280,700
I-657,60,280,420
I-658,150,240,560
I-659,200,260,560
I-660,200,280,360
I-661,100,260,500
I-662,60,260,480
I-663,60,260,560
I-664,100,280,560
I-665,200,260,600
I-666,100,240,480
I-667,200,240,700
I-668,150,280,700
I-669,150,240,480
I-670,60,280,300
I-671,150,240,400
I-672,150,240,500
I-673,100,260,480
I-674,200,280,300
I-675,60,280,300
I-676,200,280,500
I-677,200,240,560
I-678,150,280,300
I-679,200,260,560
I-680,150,260,360
I-681,60,260,700
I-682,150,280,480
I-683,100,260,360
I-684,100,280,500
I-685,60,240,420
I-686,200,280,600
I-687,60,240,420
I-688,60,280,420
I-689,60,260,480
I-690,60,260,360
I-691,100,240,420
I-692,200,240,300
I-693,100,280,360
I-694,100,280,360
I-695,150,260,500
I-696,60,280,600
I-697,150,260,360
I-698,100,240,700
I-699,100,260,400
I-700,100,240,600
I-701,100,260,360
I-702,100,240,300
I-703,60,260,360
I-704,100,280,400
I-705,150,260,600
I-706,200,280,500
I-707,150,240,420
I-708,100,240,560
I-709,200,260,700
I-710,200,280,480
I-711,60,280,300
I-712,200,280,600
I-713,200,260,400
I-714,100,260,700
I-715,150,280,500
I-716,60,260,360
I-717,60,280,600
I-718,150,260,300
I-719,200,240,300
I-720,100,260,420
I-721,100,260,300
I-722,150,280,500
I-723,100,240,700
I-724,100,260,360
I-725,200,260,500
I-726,150,260,600
I-727,200,280,560
I-728,200,240,700
I-729,60,260,700
I-730,150,280,700
I-731,100,240,500
I-732,60,260,300
I-733,150,260,600
I-734,100,260,600
I-735,60,260,600
I-736,100,280,360
I-737,150,280,400
I-738,60,260,560
I-739,60,280,420
I-740,150,280,600
I-741,200,280,600
I-742,200,240,500
I-743,200,280,300
I-744,60,240,400
I-745,200,240,300
I-746,200,260,560
I-747,60,280,480
I-748,100,280,600
I-749,200,240,560
I-750,150,240,700
I-751,100,280,360
I-752,100,240,600
I-753,60,260,700
I-754,150,280,360
I-755,200,240,300
I-756,200,280,420
I-757,150,260,480
I-758,150,280,300
I-759,100,280,300
I-760,200,260,480
I-761,200,240,300
I-762,100,260,480
I-763,60,260,360
I-764,200,240,600
I-765,100,280,360
I-766,200,280,500
I-767,150,280,420
I-768,100,260,560
I-769,100,280,360
I-770,200,280,600
I-771,200,280,500
I-772,150,280,600
I-773,100,240,400
I-774,100,260,600
I-775,100,280,700
I-776,200,260,480
I-777,200,280,480
I-778,60,240,700
I-779,60,280,500
I-780,60,280,360
I-781,150,280,560
I-782,100,240,400
I-783,60,260,300
I-784,100,240,700
I-785,100,280,600
I-786,150,260,360
I-787,100,260,360
I-788,150,280,360
I-789,200,280,420
I-790,200,280,300
I-791,150,240,560
I-792,200,280,500
I-793,60,280,360
I-794,150,280,600
I-795,100,280,600
I-796,150,240,420
I-797,150,260,600
I-798,60,240,500
I-799,200,260,700
I-800,60,240,300
I-801,200,240,300
I-802,200,280,300
I-803,100,240,400
I-804,100,280,560
I-805,200,280,560
I-806,100,280,560
I-807,200,280,400
I-808,150,280,600
I-809,60,280,500
I-810,200,260,600
I-811,60,280,700
I-812,200,240,360
I-813,200,260,700
I-814,100,260,700
I-815,60,240,560
I-816,200,260,500
I-817,100,260,300
I-818,60,240,500
I-819,60,260,420
I-820,60,260,360
I-821,200,280,700
I-822,60,260,400
I-823,200,280,700
I-824,150,240,360
I-825,200,260,300
I-826,100,280,400
I-827,60,280,420
I-828,150,260,600
I-829,60,260,700
I-830,60,240,500
I-831,60,260,400
I-832,100,280,400
I-833,100,240,600
I-834,150,260,560
I-835,60,240,500
I-836,150,280,560
I-837,100,240,400
I-838,150,260,560
I-839,60,280,560
I-840,100,280,560
I-841,150,260,480
I-842,60,260,420
I-843,150,260,700
I-844,200,240,420
I-845,60,280,420
I-846,60,280,560
I-847,60,260,400
I-848,200,280,300
I-849,150,240,400
I-850,150,260,700
I-851,200,280,360
I-852,100,260,500
I-853,150,260,360
I-854,100,280,560
I-855,150,280,300
I-856,150,240,480
I-857,60,260,560
I-858,150,280,700
I-859,100,240,300
I-860,200,280,500
I-861,200,260,560
I-862,150,260,500
I-863,200,240,700
I-864,60,260,700
I-865,150,260,400
I-866,200,240,300
I-867,150,280,700
I-868,150,280,560
I-869,100,260,480
I-870,150,280,700
I-871,60,240,480
I-872,100,240,600
I-873,100,240,300
I-874,200,280,480
I-875,200,280,480
I-876,200,260,560
I-877,200,280,420
I-878,200,280,360
I-879,60,260,500
I-880,100,280,480
I-881,200,280,500
I-882,150,260,300
I-883,150,260,500
I-884,200,260,300
I-885,200,280,360
I-886,200,260,480
I-887,100,260,480
I-888,200,240,500
I-889,60,280,480
I-890,150,240,700
I-891,150,240,480
I-892,100,260,600
I-893,100,240,360
I-894,100,280,420
I-895,60,240,420
I-896,150,260,560
I-897,100,240,600
I-898,150,240,700
I-899,150,260,360
I-900,200,260,560
I-901,100,280,400
I-902,60,280,700
I-903,200,260,600
I-904,150,280,420
I-905,60,280,360
I-906,60,280,480
I-907,60,260,560
I-908,100,280,600
I-909,200,240,300
I-910,200,260,360
I-911,60,280,360
I-912,200,280,560
I-913,200,240,420
I-914,200,280,600
I-915,200,280,560
I-916,150,240,480
I-917,100,260,700
I-918,60,240,420
I-919,200,260,560
I-920,60,260,500
I-921,200,240,480
I-922,150,260,600
I-923,200,240,500
I-924,60,240,500
I-925,200,280,420
I-926,150,240,300
I-927,150,280,500
I-928,200,240,300
I-929,200,280,300
I-930,150,260,400
I-931,100,260,400
I-932,60,260,360
I-933,60,260,300
I-934,100,280,420
I-935,100,260,420
I-936,150,240,600
I-937,100,280,480
I-938,100,260,700
I-939,200,240,420
I-940,100,260,360
I-941,60,260,420
I-942,100,280,500
I-943,150,280,420
I-944,200,260,420
I-945,60,240,600
I-946,100,240,560
I-947,200,280,420
I-948,60,260,700
I-949,60,280,600
I-950,60,280,560
I-951,200,280,480
I-952,200,260,560
I-953,150,240,700
I-954,150,280,500
I-955,150,240,700
I-956,200,240,700
I-957,200,260,360
I-958,60,280,420
I-959,150,240,500
I-960,200,260,360
I-961,200,280,700
I-962,150,260,600
I-963,200,240,600
I-964,150,260,400
I-965,200,240,600
I-966,150,280,700
I-967,200,280,500
I-968,200,240,300
I-969,150,280,560
I-970,100,280,600
I-971,150,240,300
I-972,200,240,360
I-973,200,280,300
I-974,100,280,400
I-975,200,280,480
I-976,150,240,560
I-977,200,240,300
I-978,60,240,480
I-979,200,280,360
I-980,200,280,600
I-981,200,260,300
I-982,60,240,480
I-983,60,280,400
I-984,100,260,400
I-985,200,260,300
I-986,100,240,500
I-987,200,260,560
I-988,60,240,360
I-989,150,240,500
I-990,150,260,600
I-991,60,280,420
I-992,200,260,360
I-993,60,260,480
I-994,100,260,400
I-995,100,280,560
I-996,200,240,480
I-997,200,240,600
I-998,200,280,420
I-999,200,240,480
I-1000,150,280,700
I-1001,200,240,480
I-1002,150,240,560
I-1003,60,280,600
I-1004,200,260,480
I-1005,100,260,300
I-1006,150,280,500
I-1007,200,240,560
I-1008,100,240,420
I-1009,60,240,360
I-1010,150,240,400
I-1011,150,280,500
I-1012,60,280,400
I-1013,150,240,700
I-1014,200,280,700
I-1015,60,280,600
I-1016,150,260,420
I-1017,150,260,360
I-1018,60,260,560
I-1019,60,280,300
I-1020,100,280,300
I-1021,100,280,360
I-1022,100,280,600
I-1023,100,280,420
I-1024,200,240,480
I-1025,200,280,300
I-1026,200,280,600
I-1027,100,240,560
I-1028,200,260,600
I-1029,100,280,360
I-1030,60,240,420
I-1031,200,280,560
I-1032,100,260,400
I-1033,100,280,300
I-1034,60,260,360
I-1035,60,240,360
I-1036,100,240,300
I-1037,150,260,300
I-1038,200,280,360
I-1039,150,240,600
I-1040,60,240,500
I-1041,200,280,300
I-1042,60,240,400
I-1043,150,280,500
I-1044,200,260,600
I-1045,200,260,500
I-1046,60,260,560
I-1047,60,240,300
I-1048,60,240,600
I-1049,100,280,600
I-1050,150,260,600
I-1051,150,240,700
I-1052,150,280,600
I-1053,60,260,420
I-1054,100,280,500
I-1055,150,260,560
I-1056,200,260,400
I-1057,60,280,360
I-1058,150,280,560
I-1059,150,280,700
I-1060,60,240,560
I-1061,100,260,400
I-1062,150,240,600
I-1063,60,280,700
I-1064,100,280,500
I-1065,100,280,400
I-1066,100,280,700
I-1067,100,280,600
I-1068,60,280,420
I-1069,100,240,600
I-1070,60,240,420
I-1071,100,280,360
I-1072,60,260,600
I-1073,60,280,300
I-1074,150,260,500
I-1075,100,240,700
I-1076,200,240,420
I-1077,150,240,480
I-1078,150,260,560
I-1079,150,280,400
I-1080,150,240,360
I-1081,200,280,560
I-1082,60,240,420
I-1083,150,280,420
I-1084,200,260,600
I-1085,150,280,500
I-1086,100,260,480
I-1087,100,280,360
I-1088,100,280,600
I-1089,150,260,480
I-1090,60,280,400
I-1091,150,260,560
I-1092,150,280,600
I-1093,150,240,700
I-1094,150,240,500
I-1095,60,240,700
I-1096,100,260,300
I-1097,60,280,480
I-1098,60,240,420
I-1099,150,240,480
I-1100,100,240,300
I-1101,150,260,700
I-1102,100,280,500
I-1103,150,240,420
I-1104,200,260,420
I-1105,150,240,400
I-1106,150,240,560
I-1107,60,280,400
I-1108,150,260,480
I-1109,60,260,300
I-1110,60,280,300
I-1111,200,260,700
I-1112,200,280,420
I-1113,150,240,600
I-1114,100,260,700
I-1115,60,260,560
I-1116,60,260,500
I-1117,200,260,400
I-1118,100,240,360
I-1119,100,280,500
I-1120,100,240,600
I-1121,150,280,420
I-1122,150,280,560
I-1123,60,260,400
I-1124,60,280,420
I-1125,100,260,480
I-1126,100,280,420
I-1127,200,280,480
I-1128,200,260,700
I-1129,200,240,500
I-1130,100,280,700
I-1131,60,240,560
I-1132,100,280,600
I-1133,150,260,500
I-1134,60,240,300
I-1135,200,240,360
I-1136,100,280,480
I-1137,200,280,500
I-1138,100,260,700
I-1139,60,240,400
I-1140,60,240,500
I-1141,200,280,420
I-1142,60,260,400
I-1143,60,260,500
I-1144,200,260,300
I-1145,100,260,600
I-1146,200,260,360
I-1147,60,260,480
I-1148,150,280,300
I-1149,200,260,400
I-1150,200,240,420
I-1151,200,260,480
I-1152,100,260,560
I-1153,60,280,360
I-1154,200,280,500
I-1155,60,260,400
I-1156,60,260,400
I-1157,150,240,500
I-1158,60,240,500
I-1159,60,280,420
I-1160,200,280,600
I-1161,100,260,400
I-1162,60,260,480
I-1163,150,280,500
I-1164,100,240,300
I-1165,200,240,420
I-1166,60,240,600
I-1167,200,240,500
I-1168,100,260,480
I-1169,150,240,480
I-1170,150,240,600
I-1171,200,240,600
I-1172,200,280,480
I-1173,200,240,700
I-1174,60,240,400
I-1175,60,280,420
I-1176,100,260,600
I-1177,150,280,400
I-1178,60,240,420
I-1179,150,240,400
I-1180,150,260,480
I-1181,100,280,700
I-1182,60,240,420
I-1183,100,260,500
I-1184,60,280,600
I-1185,200,280,560
I-1186,60,240,420
I-1187,150,240,360
I-1188,150,240,360
I-1189,60,260,420
I-1190,200,240,300
I-1191,150,280,360
I-1192,200,280,560
I-1193,200,280,480
I-1194,200,260,600
I-1195,100,280,300
I-1196,200,260,420
I-1197,100,280,500
I-1198,150,240,400
I-1199,200,280,300
I-1200,150,260,700
I-1201,150,280,480
I-1202,60,260,300
I-1203,150,260,360
I-1204,150,280,560
I-1205,200,260,700
I-1206,60,260,700
I-1207,100,240,480
I-1208,100,280,420
I-1209,200,240,480
I-1210,150,260,600
I-1211,200,240,300
I-1212,100,260,480
I-1213,200,260,560
I-1214,60,260,700
I-1215,100,280,300
I-1216,100,260,560
I-1217,200,240,500
I-1218,150,240,600
I-1219,60,280,360
I-1220,60,240,600
I-1221,100,240,400
I-1222,100,280,400
I-1223,150,260,400
I-1224,60,280,400
I-1225,60,260,600
I-1226,200,240,420
I-1227,150,280,600
I-1228,100,240,480
I-1229,150,240,500
I-1230,100,260,480
I-1231,200,260,300
I-1232,100,260,700
I-1233,100,260,560
I-1234,150,260,560
I-1235,200,240,360
I-1236,150,260,480
I-1237,200,240,300
I-1238,60,240,560
I-1239,100,280,560
I-1240,100,260,360
I-1241,60,260,500
I-1242,150,240,500
I-1243,60,240,420
I-1244,100,240,420
I-1245,100,280,700
I-1246,60,240,700
I-1247,150,260,500
I-1248,100,240,700
I-1249,150,260,360
I-1250,200,240,360
I-1251,200,240,300
I-1252,100,240,700
I-1253,60,240,300
I-1254,200,260,700
I-1255,200,260,700
I-1256,100,240,400
I-1257,200,240,360
I-1258,150,280,400
I-1259,100,240,600
I-1260,200,240,560
I-1261,60,240,700
I-1262,200,280,480
I-1263,100,240,480
I-1264,60,240,300
I-1265,200,280,560
I-1266,200,260,700
I-1267,60,260,600
I-1268,150,280,600
I-1269,200,260,480
I-1270,60,260,420
I-1271,100,280,560
I-1272,60,280,600
I-1273,60,260,600
I-1274,150,280,700
I-1275,60,260,480
I-1276,200,280,560
I-1277,60,240,300
I-1278,150,280,300
I-1279,200,260,360
I-1280,100,280,480
I-1281,200,280,480
I-1282,100,260,420
I-1283,60,240,400
I-1284,200,280,420
I-1285,200,280,480
I-1286,100,240,400
I-1287,60,260,700
I-1288,150,280,500
I-1289,150,240,600
I-1290,150,280,480
I-1291,150,280,480
I-1292,60,280,420
I-1293,200,260,360
I-1294,60,240,400
I-1295,100,280,300
I-1296,150,280,500
I-1297,150,280,300
I-1298,100,280,420
I-1299,100,260,300
I-1300,60,240,360
I-1301,100,240,400
I-1302,200,280,700
I-1303,150,280,480
I-1304,200,260,500
I-1305,150,260,600
I-1306,60,280,700
I-1307,150,260,420
I-1308,60,280,300
I-1309,60,240,560
I-1310,100,260,500
I-1311,200,240,360
I-1312,150,240,600
I-1313,60,260,400
I-1314,200,240,300
I-1315,100,260,480
I-1316,60,260,700
I-1317,200,280,480
I-1318,100,260,300
I-1319,100,280,400
I-1320,100,260,360
I-1321,200,260,300
I-1322,150,260,560
I-1323,150,260,500
I-1324,100,240,400
I-1325,60,260,420
I-1326,150,240,700
I-1327,150,280,360
I-1328,100,280,300
I-1329,200,260,560
I-1330,100,260,560
I-1331,60,240,480
I-1332,150,240,480
I-1333,100,280,600
I-1334,100,280,360
I-1335,150,280,480
I-1336,60,280,360
I-1337,100,280,400
I-1338,60,240,400
I-1339,60,280,300
I-1340,100,260,420
I-1341,60,260,420
I-1342,200,260,560
I-1343,100,260,300
I-1344,150,260,480
I-1345,60,260,400
I-1346,200,260,420
I-1347,100,240,700
I-1348,100,280,480
I-1349,200,280,700
I-1350,60,260,480
I-1351,60,260,420
I-1352,200,280,500
I-1353,60,280,300
I-1354,60,240,360
I-1355,100,260,400
I-1356,100,260,300
I-1357,60,240,700
I-1358,100,240,560
