programmeCode,studyYear,academicYear,course,courseType
10001,1.0,2016-2017,1584,compulsory
10001,1.0,2016-2017,1503,compulsory
10001,1.0,2016-2017,1438,compulsory
10001,1.0,2016-2017,1992,elective
10001,1.0,2016-2017,1946,elective
10001,1.0,2016-2017,1774,elective
10001,1.0,2016-2017,1666,elective
10001,1.0,2016-2017,1632,elective
10001,1.0,2016-2017,1558,elective
10001,1.0,2016-2017,1552,elective
10001,1.0,2016-2017,1511,elective
10001,1.0,2016-2017,1493,elective
10001,1.0,2016-2017,1481,elective
10001,1.0,2016-2017,1470,elective
10001,1.0,2016-2017,1439,elective
10001,1.0,2016-2017,1418,elective
10001,1.0,2016-2017,1253,elective
10001,1.0,2016-2017,1021,elective
10001,1.0,2016-2017,1014,elective
10001,1.0,2017-2018,1089,compulsory
10001,1.0,2017-2018,1243,compulsory-elective
10001,1.0,2017-2018,1236,compulsory-elective
10001,1.0,2017-2018,1122,compulsory-elective
10001,1.0,2017-2018,1934,elective
10001,1.0,2017-2018,1923,elective
10001,1.0,2017-2018,1815,elective
10001,1.0,2017-2018,1801,elective
10001,1.0,2017-2018,1603,elective
10001,1.0,2017-2018,1536,elective
10001,1.0,2017-2018,1433,elective
10001,1.0,2017-2018,1203,elective
10001,1.0,2017-2018,1201,elective
10001,1.0,2018-2019,1795,compulsory
10001,1.0,2018-2019,1447,compulsory
10001,1.0,2018-2019,1965,compulsory-elective
10001,1.0,2018-2019,1925,compulsory-elective
10001,1.0,2018-2019,1807,compulsory-elective
10001,1.0,2018-2019,1292,compulsory-elective
10001,1.0,2018-2019,1291,compulsory-elective
10001,1.0,2018-2019,1060,compulsory-elective
10001,1.0,2018-2019,1993,elective
10001,1.0,2018-2019,1908,elective
10001,1.0,2018-2019,1732,elective
10001,1.0,2018-2019,1618,elective
10001,1.0,2018-2019,1386,elective
10001,1.0,2018-2019,1371,elective
10001,1.0,2018-2019,1290,elective
10001,1.0,2018-2019,1156,elective
10001,1.0,2018-2019,1024,elective
10001,1.0,2019-2020,1622,compulsory
10001,1.0,2019-2020,1338,compulsory
10001,1.0,2019-2020,1945,compulsory-elective
10001,1.0,2019-2020,1676,compulsory-elective
10001,1.0,2019-2020,1467,compulsory-elective
10001,1.0,2019-2020,1120,compulsory-elective
10001,1.0,2019-2020,1837,elective
10001,1.0,2019-2020,1758,elective
10001,1.0,2019-2020,1736,elective
10001,1.0,2019-2020,1641,elective
10001,1.0,2019-2020,1605,elective
10001,1.0,2019-2020,1599,elective
10001,1.0,2019-2020,1485,elective
10001,1.0,2019-2020,1375,elective
10001,1.0,2019-2020,1358,elective
10001,1.0,2019-2020,1221,elective
10001,1.0,2019-2020,1162,elective
10001,1.0,2019-2020,1145,elective
10001,1.0,2019-2020,1140,elective
10001,1.0,2020-2021,1270,compulsory
10001,1.0,2020-2021,1680,compulsory-elective
10001,1.0,2020-2021,1518,compulsory-elective
10001,1.0,2020-2021,1167,compulsory-elective
10001,1.0,2020-2021,1941,elective
10001,1.0,2020-2021,1853,elective
10001,1.0,2020-2021,1844,elective
10001,1.0,2020-2021,1678,elective
10001,1.0,2020-2021,1633,elective
10001,1.0,2020-2021,1554,elective
10001,1.0,2020-2021,1438,elective
10001,1.0,2020-2021,1276,elective
10001,1.0,2020-2021,1271,elective
10001,1.0,2020-2021,1217,elective
10001,1.0,2020-2021,1122,elective
10001,1.0,2021-2022,1280,compulsory
10001,1.0,2021-2022,1256,compulsory
10001,1.0,2021-2022,1742,compulsory-elective
10001,1.0,2021-2022,1688,compulsory-elective
10001,1.0,2021-2022,1669,compulsory-elective
10001,1.0,2021-2022,1519,compulsory-elective
10001,1.0,2021-2022,1133,compulsory-elective
10001,1.0,2021-2022,1795,elective
10001,1.0,2021-2022,1771,elective
10001,1.0,2021-2022,1768,elective
10001,1.0,2021-2022,1654,elective
10001,1.0,2021-2022,1557,elective
10001,1.0,2021-2022,1381,elective
10001,1.0,2021-2022,1362,elective
10001,1.0,2021-2022,1277,elective
10001,1.0,2021-2022,1217,elective
10001,1.0,2022-2023,1289,compulsory
10001,1.0,2022-2023,1859,compulsory-elective
10001,1.0,2022-2023,1789,compulsory-elective
10001,1.0,2022-2023,1724,compulsory-elective
10001,1.0,2022-2023,1690,compulsory-elective
10001,1.0,2022-2023,1680,compulsory-elective
10001,1.0,2022-2023,1996,elective
10001,1.0,2022-2023,1971,elective
10001,1.0,2022-2023,1934,elective
10001,1.0,2022-2023,1882,elective
10001,1.0,2022-2023,1671,elective
10001,1.0,2022-2023,1588,elective
10001,1.0,2022-2023,1472,elective
10001,1.0,2022-2023,1345,elective
10001,1.0,2022-2023,1292,elective
10001,1.0,2022-2023,1187,elective
10001,1.0,2022-2023,1127,elective
10001,1.0,2023-2024,1461,compulsory
10001,1.0,2023-2024,1219,compulsory
10001,1.0,2023-2024,1940,compulsory-elective
10001,1.0,2023-2024,1648,compulsory-elective
10001,1.0,2023-2024,1363,compulsory-elective
10001,1.0,2023-2024,1024,compulsory-elective
10001,1.0,2023-2024,1933,elective
10001,1.0,2023-2024,1869,elective
10001,1.0,2023-2024,1849,elective
10001,1.0,2023-2024,1752,elective
10001,1.0,2023-2024,1644,elective
10001,1.0,2023-2024,1606,elective
10001,1.0,2023-2024,1511,elective
10001,1.0,2023-2024,1365,elective
10001,1.0,2023-2024,1305,elective
10001,1.0,2023-2024,1285,elective
10001,1.0,2023-2024,1263,elective
10001,1.0,2023-2024,1230,elective
10001,1.0,2023-2024,1170,elective
10001,1.0,2023-2024,1125,elective
10001,1.0,2024-2025,1422,compulsory
10001,1.0,2024-2025,1375,compulsory
10001,1.0,2024-2025,1656,compulsory-elective
10001,1.0,2024-2025,1533,compulsory-elective
10001,1.0,2024-2025,1364,compulsory-elective
10001,1.0,2024-2025,1322,compulsory-elective
10001,1.0,2024-2025,1238,compulsory-elective
10001,1.0,2024-2025,1207,compulsory-elective
10001,1.0,2024-2025,1850,elective
10001,1.0,2024-2025,1689,elective
10001,1.0,2024-2025,1571,elective
10001,1.0,2024-2025,1530,elective
10001,1.0,2024-2025,1338,elective
10001,1.0,2024-2025,1309,elective
10001,1.0,2024-2025,1273,elective
10001,1.0,2024-2025,1049,elective
10001,1.0,2025-2026,1490,compulsory
10001,1.0,2025-2026,1786,compulsory-elective
10001,1.0,2025-2026,1783,compulsory-elective
10001,1.0,2025-2026,1496,compulsory-elective
10001,1.0,2025-2026,1180,compulsory-elective
10001,1.0,2025-2026,1138,compulsory-elective
10001,1.0,2025-2026,1093,compulsory-elective
10001,1.0,2025-2026,1902,elective
10001,1.0,2025-2026,1890,elective
10001,1.0,2025-2026,1832,elective
10001,1.0,2025-2026,1816,elective
10001,1.0,2025-2026,1797,elective
10001,1.0,2025-2026,1781,elective
10001,1.0,2025-2026,1654,elective
10001,1.0,2025-2026,1525,elective
10001,1.0,2025-2026,1458,elective
10001,1.0,2025-2026,1385,elective
10001,1.0,2025-2026,1334,elective
10001,1.0,2025-2026,1064,elective
10001,1.0,2025-2026,1012,elective
10001,1.0,2026-2027,1898,compulsory
10001,1.0,2026-2027,1962,compulsory-elective
10001,1.0,2026-2027,1740,compulsory-elective
10001,1.0,2026-2027,1730,compulsory-elective
10001,1.0,2026-2027,1715,compulsory-elective
10001,1.0,2026-2027,1609,compulsory-elective
10001,1.0,2026-2027,1328,compulsory-elective
10001,1.0,2026-2027,1992,elective
10001,1.0,2026-2027,1961,elective
10001,1.0,2026-2027,1923,elective
10001,1.0,2026-2027,1869,elective
10001,1.0,2026-2027,1803,elective
10001,1.0,2026-2027,1728,elective
10001,1.0,2026-2027,1684,elective
10001,1.0,2026-2027,1662,elective
10001,1.0,2026-2027,1639,elective
10001,1.0,2026-2027,1296,elective
10001,1.0,2026-2027,1244,elective
10001,1.0,2026-2027,1153,elective
10001,1.0,2026-2027,1142,elective
10001,1.0,2026-2027,1138,elective
10001,1.0,2026-2027,1008,elective
10001,2.0,2010-2011,1863,compulsory
10001,2.0,2010-2011,1008,compulsory
10001,2.0,2010-2011,1464,compulsory
10001,2.0,2010-2011,1295,compulsory
10001,2.0,2010-2011,1944,elective
10001,2.0,2010-2011,1913,elective
10001,2.0,2010-2011,1817,elective
10001,2.0,2010-2011,1809,elective
10001,2.0,2010-2011,1755,elective
10001,2.0,2010-2011,1742,elective
10001,2.0,2010-2011,1724,elective
10001,2.0,2010-2011,1663,elective
10001,2.0,2010-2011,1609,elective
10001,2.0,2010-2011,1402,elective
10001,2.0,2010-2011,1307,elective
10001,2.0,2010-2011,1070,elective
10001,2.0,2010-2011,1048,elective
10001,2.0,2011-2012,1815,compulsory
10001,2.0,2011-2012,1768,compulsory-elective
10001,2.0,2011-2012,1671,compulsory-elective
10001,2.0,2011-2012,1082,compulsory-elective
10001,2.0,2011-2012,1860,elective
10001,2.0,2011-2012,1706,elective
10001,2.0,2011-2012,1629,elective
10001,2.0,2011-2012,1509,elective
10001,2.0,2011-2012,1436,elective
10001,2.0,2011-2012,1345,elective
10001,2.0,2011-2012,1297,elective
10001,2.0,2011-2012,1085,elective
10001,2.0,2012-2013,1010,compulsory
10001,2.0,2012-2013,1896,compulsory-elective
10001,2.0,2012-2013,1084,compulsory-elective
10001,2.0,2012-2013,1025,compulsory-elective
10001,2.0,2012-2013,1886,elective
10001,2.0,2012-2013,1776,elective
10001,2.0,2012-2013,1638,elective
10001,2.0,2012-2013,1577,elective
10001,2.0,2012-2013,1570,elective
10001,2.0,2012-2013,1485,elective
10001,2.0,2012-2013,1479,elective
10001,2.0,2012-2013,1158,elective
10001,2.0,2012-2013,1124,elective
10001,2.0,2012-2013,1110,elective
10001,2.0,2013-2014,1956,compulsory
10001,2.0,2013-2014,1488,compulsory
10001,2.0,2013-2014,1979,compulsory-elective
10001,2.0,2013-2014,1955,compulsory-elective
10001,2.0,2013-2014,1852,compulsory-elective
10001,2.0,2013-2014,1537,compulsory-elective
10001,2.0,2013-2014,1327,compulsory-elective
10001,2.0,2013-2014,1930,elective
10001,2.0,2013-2014,1917,elective
10001,2.0,2013-2014,1894,elective
10001,2.0,2013-2014,1849,elective
10001,2.0,2013-2014,1838,elective
10001,2.0,2013-2014,1708,elective
10001,2.0,2013-2014,1688,elective
10001,2.0,2013-2014,1622,elective
10001,2.0,2013-2014,1592,elective
10001,2.0,2013-2014,1480,elective
10001,2.0,2013-2014,1447,elective
10001,2.0,2013-2014,1399,elective
10001,2.0,2013-2014,1319,elective
10001,2.0,2013-2014,1018,elective
10001,2.0,2013-2014,1014,elective
10001,2.0,2013-2014,1012,elective
10001,2.0,2014-2015,1767,compulsory
10001,2.0,2014-2015,1094,compulsory
10001,2.0,2014-2015,1939,compulsory-elective
10001,2.0,2014-2015,1734,compulsory-elective
10001,2.0,2014-2015,1636,compulsory-elective
10001,2.0,2014-2015,1975,elective
10001,2.0,2014-2015,1924,elective
10001,2.0,2014-2015,1561,elective
10001,2.0,2014-2015,1501,elective
10001,2.0,2014-2015,1275,elective
10001,2.0,2014-2015,1190,elective
10001,2.0,2014-2015,1163,elective
10001,2.0,2014-2015,1118,elective
10001,2.0,2014-2015,1110,elective
10001,2.0,2014-2015,1038,elective
10001,2.0,2015-2016,1325,compulsory
10001,2.0,2015-2016,1860,compulsory-elective
10001,2.0,2015-2016,1698,compulsory-elective
10001,2.0,2015-2016,1416,compulsory-elective
10001,2.0,2015-2016,1256,compulsory-elective
10001,2.0,2015-2016,1219,compulsory-elective
10001,2.0,2015-2016,1167,compulsory-elective
10001,2.0,2015-2016,1945,elective
10001,2.0,2015-2016,1768,elective
10001,2.0,2015-2016,1690,elective
10001,2.0,2015-2016,1568,elective
10001,2.0,2015-2016,1118,elective
10001,2.0,2015-2016,1114,elective
10001,2.0,2015-2016,1099,elective
10001,2.0,2015-2016,1096,elective
10001,2.0,2015-2016,1034,elective
10001,2.0,2015-2016,1021,elective
10001,2.0,2015-2016,1015,elective
10001,2.0,2016-2017,1788,compulsory
10001,2.0,2016-2017,1503,compulsory
10001,2.0,2016-2017,1866,compulsory-elective
10001,2.0,2016-2017,1643,compulsory-elective
10001,2.0,2016-2017,1584,compulsory-elective
10001,2.0,2016-2017,1875,elective
10001,2.0,2016-2017,1782,elective
10001,2.0,2016-2017,1748,elective
10001,2.0,2016-2017,1641,elective
10001,2.0,2016-2017,1190,elective
10001,2.0,2016-2017,1131,elective
10001,2.0,2016-2017,1128,elective
10001,2.0,2016-2017,1015,elective
10001,2.0,2017-2018,1137,compulsory
10001,2.0,2017-2018,1099,compulsory
10001,2.0,2017-2018,1892,compulsory
10001,2.0,2017-2018,1157,compulsory
10001,2.0,2017-2018,1995,elective
10001,2.0,2017-2018,1985,elective
10001,2.0,2017-2018,1777,elective
10001,2.0,2017-2018,1633,elective
10001,2.0,2017-2018,1592,elective
10001,2.0,2017-2018,1548,elective
10001,2.0,2017-2018,1516,elective
10001,2.0,2017-2018,1457,elective
10001,2.0,2017-2018,1409,elective
10001,2.0,2017-2018,1342,elective
10001,2.0,2017-2018,1332,elective
10001,2.0,2017-2018,1165,elective
10001,2.0,2017-2018,1044,elective
10001,2.0,2018-2019,1419,compulsory
10001,2.0,2018-2019,1914,compulsory-elective
10001,2.0,2018-2019,1658,compulsory-elective
10001,2.0,2018-2019,1556,compulsory-elective
10001,2.0,2018-2019,1502,compulsory-elective
10001,2.0,2018-2019,1447,compulsory-elective
10001,2.0,2018-2019,1421,compulsory-elective
10001,2.0,2018-2019,1979,elective
10001,2.0,2018-2019,1902,elective
10001,2.0,2018-2019,1793,elective
10001,2.0,2018-2019,1711,elective
10001,2.0,2018-2019,1576,elective
10001,2.0,2018-2019,1449,elective
10001,2.0,2018-2019,1427,elective
10001,2.0,2018-2019,1374,elective
10001,2.0,2018-2019,1359,elective
10001,2.0,2018-2019,1299,elective
10001,2.0,2018-2019,1057,elective
10001,2.0,2018-2019,1031,elective
10001,2.0,2019-2020,1987,compulsory
10001,2.0,2019-2020,1264,compulsory
10001,2.0,2019-2020,1884,compulsory-elective
10001,2.0,2019-2020,1426,compulsory-elective
10001,2.0,2019-2020,1382,compulsory-elective
10001,2.0,2019-2020,1380,compulsory-elective
10001,2.0,2019-2020,1360,compulsory-elective
10001,2.0,2019-2020,1338,compulsory-elective
10001,2.0,2019-2020,1951,elective
10001,2.0,2019-2020,1930,elective
10001,2.0,2019-2020,1872,elective
10001,2.0,2019-2020,1774,elective
10001,2.0,2019-2020,1624,elective
10001,2.0,2019-2020,1478,elective
10001,2.0,2019-2020,1323,elective
10001,2.0,2019-2020,1177,elective
10001,2.0,2019-2020,1126,elective
10001,2.0,2019-2020,1037,elective
10001,2.0,2020-2021,1331,compulsory
10001,2.0,2020-2021,1075,compulsory
10001,2.0,2020-2021,1865,compulsory-elective
10001,2.0,2020-2021,1735,compulsory-elective
10001,2.0,2020-2021,1493,compulsory-elective
10001,2.0,2020-2021,1277,compulsory-elective
10001,2.0,2020-2021,1856,elective
10001,2.0,2020-2021,1850,elective
10001,2.0,2020-2021,1791,elective
10001,2.0,2020-2021,1742,elective
10001,2.0,2020-2021,1613,elective
10001,2.0,2020-2021,1561,elective
10001,2.0,2020-2021,1445,elective
10001,2.0,2020-2021,1343,elective
10001,2.0,2020-2021,1318,elective
10001,2.0,2020-2021,1207,elective
10001,2.0,2020-2021,1206,elective
10001,2.0,2020-2021,1204,elective
10001,2.0,2020-2021,1199,elective
10001,2.0,2020-2021,1124,elective
10001,2.0,2021-2022,1416,compulsory
10001,2.0,2021-2022,1228,compulsory
10001,2.0,2021-2022,1968,compulsory
10001,2.0,2021-2022,1824,compulsory
10001,2.0,2021-2022,1983,elective
10001,2.0,2021-2022,1937,elective
10001,2.0,2021-2022,1842,elective
10001,2.0,2021-2022,1755,elective
10001,2.0,2021-2022,1576,elective
10001,2.0,2021-2022,1476,elective
10001,2.0,2021-2022,1445,elective
10001,2.0,2021-2022,1264,elective
10001,2.0,2021-2022,1115,elective
10001,2.0,2021-2022,1088,elective
10001,2.0,2022-2023,1771,compulsory
10001,2.0,2022-2023,1318,compulsory
10001,2.0,2022-2023,1829,compulsory-elective
10001,2.0,2022-2023,1710,compulsory-elective
10001,2.0,2022-2023,1622,compulsory-elective
10001,2.0,2022-2023,1142,compulsory-elective
10001,2.0,2022-2023,1084,compulsory-elective
10001,2.0,2022-2023,1930,elective
10001,2.0,2022-2023,1845,elective
10001,2.0,2022-2023,1741,elective
10001,2.0,2022-2023,1683,elective
10001,2.0,2022-2023,1662,elective
10001,2.0,2022-2023,1595,elective
10001,2.0,2022-2023,1579,elective
10001,2.0,2022-2023,1553,elective
10001,2.0,2022-2023,1529,elective
10001,2.0,2022-2023,1396,elective
10001,2.0,2022-2023,1141,elective
10001,2.0,2023-2024,1867,compulsory
10001,2.0,2023-2024,1814,compulsory
10001,2.0,2023-2024,1954,compulsory-elective
10001,2.0,2023-2024,1674,compulsory-elective
10001,2.0,2023-2024,1195,compulsory-elective
10001,2.0,2023-2024,1104,compulsory-elective
10001,2.0,2023-2024,1850,elective
10001,2.0,2023-2024,1727,elective
10001,2.0,2023-2024,1710,elective
10001,2.0,2023-2024,1611,elective
10001,2.0,2023-2024,1588,elective
10001,2.0,2023-2024,1330,elective
10001,2.0,2023-2024,1326,elective
10001,2.0,2023-2024,1298,elective
10001,2.0,2023-2024,1186,elective
10001,2.0,2024-2025,1152,compulsory
10001,2.0,2024-2025,1874,compulsory-elective
10001,2.0,2024-2025,1838,compulsory-elective
10001,2.0,2024-2025,1584,compulsory-elective
10001,2.0,2024-2025,1347,compulsory-elective
10001,2.0,2024-2025,1819,elective
10001,2.0,2024-2025,1795,elective
10001,2.0,2024-2025,1766,elective
10001,2.0,2024-2025,1736,elective
10001,2.0,2024-2025,1470,elective
10001,2.0,2024-2025,1435,elective
10001,2.0,2024-2025,1423,elective
10001,2.0,2024-2025,1344,elective
10001,2.0,2024-2025,1339,elective
10001,2.0,2024-2025,1318,elective
10001,2.0,2024-2025,1249,elective
10001,2.0,2024-2025,1004,elective
10001,2.0,2025-2026,1843,compulsory
10001,2.0,2025-2026,1753,compulsory-elective
10001,2.0,2025-2026,1586,compulsory-elective
10001,2.0,2025-2026,1477,compulsory-elective
10001,2.0,2025-2026,1467,compulsory-elective
10001,2.0,2025-2026,1282,compulsory-elective
10001,2.0,2025-2026,1152,compulsory-elective
10001,2.0,2025-2026,1934,elective
10001,2.0,2025-2026,1804,elective
10001,2.0,2025-2026,1627,elective
10001,2.0,2025-2026,1551,elective
10001,2.0,2025-2026,1473,elective
10001,2.0,2025-2026,1458,elective
10001,2.0,2025-2026,1243,elective
10001,2.0,2025-2026,1176,elective
10001,2.0,2026-2027,1962,compulsory
10001,2.0,2026-2027,1580,compulsory
10001,2.0,2026-2027,1942,compulsory-elective
10001,2.0,2026-2027,1687,compulsory-elective
10001,2.0,2026-2027,1338,compulsory-elective
10001,2.0,2026-2027,1964,elective
10001,2.0,2026-2027,1940,elective
10001,2.0,2026-2027,1888,elective
10001,2.0,2026-2027,1792,elective
10001,2.0,2026-2027,1404,elective
10001,2.0,2026-2027,1342,elective
10001,2.0,2026-2027,1289,elective
10001,2.0,2026-2027,1282,elective
10001,2.0,2026-2027,1212,elective
10001,2.0,2026-2027,1135,elective
10001,3.0,2010-2011,1713,compulsory
10001,3.0,2010-2011,1490,compulsory
10001,3.0,2010-2011,1876,compulsory-elective
10001,3.0,2010-2011,1733,compulsory-elective
10001,3.0,2010-2011,1052,compulsory-elective
10001,3.0,2010-2011,1703,elective
10001,3.0,2010-2011,1662,elective
10001,3.0,2010-2011,1650,elective
10001,3.0,2010-2011,1638,elective
10001,3.0,2010-2011,1634,elective
10001,3.0,2010-2011,1632,elective
10001,3.0,2010-2011,1565,elective
10001,3.0,2010-2011,1320,elective
10001,3.0,2010-2011,1267,elective
10001,3.0,2010-2011,1208,elective
10001,3.0,2011-2012,1866,compulsory
10001,3.0,2011-2012,1155,compulsory
10001,3.0,2011-2012,1983,compulsory-elective
10001,3.0,2011-2012,1918,compulsory-elective
10001,3.0,2011-2012,1844,compulsory-elective
10001,3.0,2011-2012,1587,compulsory-elective
10001,3.0,2011-2012,1560,compulsory-elective
10001,3.0,2011-2012,1262,compulsory-elective
10001,3.0,2011-2012,1895,elective
10001,3.0,2011-2012,1742,elective
10001,3.0,2011-2012,1735,elective
10001,3.0,2011-2012,1724,elective
10001,3.0,2011-2012,1717,elective
10001,3.0,2011-2012,1655,elective
10001,3.0,2011-2012,1505,elective
10001,3.0,2011-2012,1408,elective
10001,3.0,2011-2012,1370,elective
10001,3.0,2011-2012,1343,elective
10001,3.0,2011-2012,1311,elective
10001,3.0,2011-2012,1271,elective
10001,3.0,2011-2012,1114,elective
10001,3.0,2011-2012,1090,elective
10001,3.0,2011-2012,1071,elective
10001,3.0,2012-2013,1498,compulsory
10001,3.0,2012-2013,1249,compulsory
10001,3.0,2012-2013,1955,compulsory-elective
10001,3.0,2012-2013,1857,compulsory-elective
10001,3.0,2012-2013,1592,compulsory-elective
10001,3.0,2012-2013,1962,elective
10001,3.0,2012-2013,1844,elective
10001,3.0,2012-2013,1804,elective
10001,3.0,2012-2013,1728,elective
10001,3.0,2012-2013,1698,elective
10001,3.0,2012-2013,1678,elective
10001,3.0,2012-2013,1392,elective
10001,3.0,2012-2013,1317,elective
10001,3.0,2012-2013,1267,elective
10001,3.0,2012-2013,1231,elective
10001,3.0,2012-2013,1192,elective
10001,3.0,2013-2014,1901,compulsory
10001,3.0,2013-2014,1202,compulsory-elective
10001,3.0,2013-2014,1064,compulsory-elective
10001,3.0,2013-2014,1912,elective
10001,3.0,2013-2014,1582,elective
10001,3.0,2013-2014,1446,elective
10001,3.0,2013-2014,1387,elective
10001,3.0,2013-2014,1229,elective
10001,3.0,2013-2014,1123,elective
10001,3.0,2013-2014,1082,elective
10001,3.0,2013-2014,1067,elective
10001,3.0,2014-2015,1680,compulsory
10001,3.0,2014-2015,1321,compulsory
10001,3.0,2014-2015,1600,compulsory-elective
10001,3.0,2014-2015,1445,compulsory-elective
10001,3.0,2014-2015,1419,compulsory-elective
10001,3.0,2014-2015,1926,elective
10001,3.0,2014-2015,1815,elective
10001,3.0,2014-2015,1626,elective
10001,3.0,2014-2015,1621,elective
10001,3.0,2014-2015,1564,elective
10001,3.0,2014-2015,1431,elective
10001,3.0,2014-2015,1355,elective
10001,3.0,2014-2015,1350,elective
10001,3.0,2014-2015,1052,elective
10001,3.0,2014-2015,1031,elective
10001,3.0,2015-2016,1039,compulsory
10001,3.0,2015-2016,1931,compulsory-elective
10001,3.0,2015-2016,1577,compulsory-elective
10001,3.0,2015-2016,1164,compulsory-elective
10001,3.0,2015-2016,1996,elective
10001,3.0,2015-2016,1827,elective
10001,3.0,2015-2016,1815,elective
10001,3.0,2015-2016,1812,elective
10001,3.0,2015-2016,1761,elective
10001,3.0,2015-2016,1734,elective
10001,3.0,2015-2016,1724,elective
10001,3.0,2015-2016,1617,elective
10001,3.0,2015-2016,1449,elective
10001,3.0,2015-2016,1313,elective
10001,3.0,2015-2016,1276,elective
10001,3.0,2015-2016,1022,elective
10001,3.0,2016-2017,1841,compulsory
10001,3.0,2016-2017,1622,compulsory
10001,3.0,2016-2017,1925,compulsory-elective
10001,3.0,2016-2017,1689,compulsory-elective
10001,3.0,2016-2017,1248,compulsory-elective
10001,3.0,2016-2017,1195,compulsory-elective
